Battle_Name,Year,Troop_Size_French,Troop_Size_Enemy,Terrain,Weather,Outcome,Key_Factors
Battle of Toulon,1793,15000,20000,Urban,Mild,Win,"Artillery strategy, naval forces"
Battle of Rivoli,1797,23000,28000,Hills,Cold,Win,"Superior tactics, use of terrain"
Battle of the Pyramids,1798,25000,40000,Desert,Hot,Win,"Square infantry formations, cavalry dominance"
Battle of Marengo,1800,28000,31000,Plains,Warm,Win,"Surprise counterattack, reinforcements"
Battle of Austerlitz,1805,68000,85000,Plains and hills,Foggy,Win,"Divide-and-conquer strategy, tactical feints"
Battle of Trafalgar,1805,0,0,Naval,Windy,Lose,British superior naval tactics
Battle of Jena-Auerstedt,1806,120000,114000,Plains and forests,Mild,Win,"Speed of movement, division of enemy forces"
Battle of Friedland,1807,80000,60000,Riverbanks and forests,Warm,Win,"River as barrier, concentrated attacks"
Battle of Borodino,1812,130000,120000,Fortified plains,Warm,Draw,"Heavy casualties, strong Russian defenses"
Battle of Leipzig,1813,200000,350000,Urban and riverbanks,Cold,Lose,"Superior coalition numbers, multi-front attacks"
Battle of Waterloo,1815,73000,120000,Plains,Rainy,Lose,"Delayed attack due to rain, Prussian reinforcements"
